"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7","W4Efsd 8","W4Efsd 9","FQ2IWe src","ah5Ghc","W6VQef","M4A5Cf","ah5Ghc 2","fontBodyMedium","EgL07d src","R8c4Qb"
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/The+Raymond+Shop/data=!4m7!3m6!1s0x3bd1d7f8fa379da5:0x31faf89b5d16f51b!8m2!3d19.1522996!4d77.3124542!16s%2Fg%2F11s0x3tn9h!19sChIJpZ03-vjX0TsRG_UWXZv4-jE?authuser=0&hl=en&rclk=1","The Raymond Shop","4.5","(4)","·","Clothing store","·","Chikhalwadi Corner, Gurudwara Rd, opp. Oriental Bank","·","Closed","⋅ Opens 10:30AM Sat","·","080077 77911","https://lh5.googleusercontent.com/p/AF1QipNElMJmj0Qhnlwvm1zdqiMqOaXgJeRveIw7RgM=w80-h106-k-no","In-store shopping","·","","","","",""
"https://www.google.com/maps/place/King's+Collections/data=!4m7!3m6!1s0x3bd1d641ab107d27:0xcf81d57149bab95e!8m2!3d19.1523933!4d77.3120664!16s%2Fg%2F11cr_rxltm!19sChIJJ30Qq0HW0TsRXrm6SXHVgc8?authuser=0&hl=en&rclk=1","King's Collections","3.8","(304)","·","Clothing store","·","·","02462 240 206","Closes soon","⋅ 10:30PM ⋅ Opens 10:30AM Sat","","","https://lh5.googleusercontent.com/yLV2Fb9gO3poszYx1BgStd-tlo_Z0XFRiRDNRCBBQC0cqmRXx3qmyakBCgAhelUx=w163-h92-k-no","In-store shopping","·","·","Kerbside pickup","","",""
"https://www.google.com/maps/place/Panchsheel/data=!4m7!3m6!1s0x3bd1d68be67f5d93:0x92f2084eaf9c290!8m2!3d19.1768374!4d77.3042636!16s%2Fg%2F1hm2_jq39!19sChIJk11_5ovW0TsRkML56oQgLwk?authuser=0&hl=en&rclk=1","Panchsheel","3.8","(709)","·","Clothing store","·","·","02462 251 269","Closed","⋅ Opens 9AM Sat","","","https://lh5.googleusercontent.com/p/AF1QipNtIpyIAE94xajqVjrc3YOzZcY2ejSxKcafbL3g=w163-h92-k-no","In-store shopping","·","·","Delivery","","",""
"https://www.google.com/maps/place/Novelty+Cloth+Stores/data=!4m7!3m6!1s0x3bd1d7f34e836cd5:0x44b418e367a7f836!8m2!3d19.1532798!4d77.3114465!16s%2Fg%2F11pf3ph_mp!19sChIJ1WyDTvPX0TsRNvinZ-MYtEQ?authuser=0&hl=en&rclk=1","Novelty Cloth Stores","","","·","Clothing store","·","Shop No 1 Near Maroti Mandir Hanuman Peth Vazirabad","·","Closed","⋅ Opens 9AM Sat","","","https://lh5.googleusercontent.com/p/AF1QipPVm2d8ktcavqju0LtDk_mxSR7xtu4qFsjbVHgN=w163-h92-k-no","In-store shopping","·","","","No reviews","",""
"https://www.google.com/maps/place/Khoobsurat/data=!4m7!3m6!1s0x3bd1d64055bd2119:0x4dee2aa5f1fadf09!8m2!3d19.1530123!4d77.3096405!16s%2Fg%2F1hc85kzjp!19sChIJGSG9VUDW0TsRCd_68aUq7k0?authuser=0&hl=en&rclk=1","Khoobsurat","3.8","(148)","·","Clothing store","·","Tiranga Chowk, near dr. Bajaj hospital","·","Closed","⋅ Opens 10:30AM Sat","","","https://lh5.googleusercontent.com/p/AF1QipNmBKyhCV7MsxQqMn0PWO8nIeK99LeSX1OEITT3=w80-h106-k-no","Delivery","·","","","","",""
"https://www.google.com/maps/place/Kumar+Readymade/data=!4m7!3m6!1s0x3bd1d68bcf3d0bd3:0xd88b45542830e214!8m2!3d19.1756838!4d77.3046193!16s%2Fg%2F1hm2h6k68!19sChIJ0ws9z4vW0TsRFOIwKFRFi9g?authuser=0&hl=en&rclk=1","Kumar Readymade","3.8","(188)","·","Clothing store","·","Workshop Rd","·","Closed","⋅ Opens 10AM Sat","","","https://lh5.googleusercontent.com/p/AF1QipPCtV9L3XzLeG1D9crZdJhgJNaDc_kl_Ou_1egY=w122-h92-k-no","In-store shopping","·","·","Delivery","","",""
"https://www.google.com/maps/place/Gents/data=!4m7!3m6!1s0x3bd1d7f8d90d9d37:0x384c8a4b442fee6a!8m2!3d19.1511996!4d77.3137428!16s%2Fg%2F11fy56j_gp!19sChIJN50N2fjX0TsRau4vREuKTDg?authuser=0&hl=en&rclk=1","Gents","3.8","(95)","·","Clothing store","·","Pundlikwadi, Mahaveer chowk","·","Closed","⋅ Opens 10AM Sat","","","https://lh5.googleusercontent.com/p/AF1QipPz1qFE26lnGrWwPvjZhK1PLJIYICqaQdPNCssU=w80-h106-k-no","In-store shopping","·","·","Delivery","","",""
"https://www.google.com/maps/place/Allen+Solly/data=!4m7!3m6!1s0x3bd1d7fb60d8e6fb:0x414d5424e8738f7c!8m2!3d19.1293572!4d77.3087654!16s%2Fg%2F11gy2ycn5l!19sChIJ--bYYPvX0TsRfI9z6CRUTUE?authuser=0&hl=en&rclk=1","Allen Solly","5.0","(8)","·","Clothing store","·","48H5+PGR","·","Closes soon","⋅ 10PM ⋅ Opens 11AM Sat","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IAip5uu_9yMsGEiAk-LIew&cb_client=search.gws-prod.gps&w=80&h=92&yaw=52.4724&pitch=0&thumbfov=100","In-store shopping","·","·","Delivery","","",""
"https://www.google.com/maps/place/Karan's+Gazab+Garments/data=!4m7!3m6!1s0x3bd1d641ae184979:0x780dc773afc35de8!8m2!3d19.1523854!4d77.3119051!16s%2Fg%2F1hdzgg5_8!19sChIJeUkYrkHW0TsR6F3Dr3PHDXg?authuser=0&hl=en&rclk=1","Karan's Gazab Garments","3.9","(49)","·","Clothing store","·","5826+XQ2, Khandelwal Plaza, Vazirabad, near King Collection","·","Closes soon","⋅ 10:30PM ⋅ Opens 10:30AM Sat","·","098236 35973","https://lh3.googleusercontent.com/whdh2nfT36RBPasngl22getp1INigiV0OpOnvTgnOI9R9RvRIbbfNFUyySIAXUQB=w163-h92-k-no","In-store shopping","·","·","Delivery","","",""
